segment,loan_id,borrower,exposure_inr_lakh,bureau_score,score_migration_3m,dpd_current,dpd_trend_6m,emi_bounce_6m,util_ratio,util_spike_3m,cashflow_coverage,salary_regularity,balance_volatility,new_enquiries_3m,leverage_buildup,ltv_drift,gst_filing_gap_m,interest_coverage,news_adverse_severity,legal_event_flag,call_sentiment_drift,hardship_mentions_6m,audit_qualified_flag,web_footprint_decline,default_12m,true_pd,vintage
Retail Secured,LN101474,Borrower-01474,23.3,821.0,4.0,15,-1.16,0,0.185,0.077,1.37,0.662,0.214,0,0.207,-0.121,0,,0.0,0,-0.507,0,0,0.0,0,0.0,train
Retail Secured,LN101475,Borrower-01475,11.4,634.0,-24.0,5,1.63,0,0.205,-0.224,0.39,0.909,0.659,1,0.076,-0.02,0,,0.0,0,-0.05,0,0,0.0,0,0.0362,train
Retail Secured,LN101476,Borrower-01476,6.4,670.0,-5.0,0,-0.16,0,0.498,-0.024,1.35,0.939,0.248,0,0.118,-0.02,0,,0.0,0,-0.175,0,0,0.0,0,0.0,train
Microfinance,LN101477,Borrower-01477,3.9,743.0,7.0,35,-0.67,0,0.201,0.077,2.15,0.804,0.389,0,-0.136,0.0,0,,0.0,0,-0.215,0,0,0.131,0,0.0,train
Retail Secured,LN101478,Borrower-01478,10.6,689.0,-1.0,0,-0.65,0,0.424,0.035,3.22,0.833,0.249,1,-0.305,0.057,0,,0.0,0,-0.155,0,0,0.0,0,0.0,train
Retail Secured,LN101479,Borrower-01479,46.8,724.0,-35.0,0,2.07,0,0.623,0.042,1.97,0.891,0.406,2,0.071,0.144,0,,0.0,0,-0.454,0,0,0.0,0,0.3451,train
Retail Secured,LN101480,Borrower-01480,8.5,794.0,-12.0,0,-0.12,0,0.333,-0.115,1.63,0.804,0.893,0,0.331,0.143,0,,0.0,0,0.251,1,0,0.0,0,0.0004,train
Retail Unsecured,LN101481,Borrower-01481,4.5,751.0,-13.0,0,0.45,0,0.559,-0.054,2.05,0.804,0.248,1,-0.405,0.0,0,,0.0,0,-0.477,0,0,0.0,0,0.0,train
Retail Secured,LN101482,Borrower-01482,9.0,689.0,10.0,0,-0.2,0,0.584,0.11,1.26,0.86,0.51,1,0.245,0.125,0,,0.0,0,0.068,0,0,0.0,0,0.0002,train
Retail Unsecured,LN101483,Borrower-01483,16.1,708.0,47.0,0,-0.07,0,0.758,0.196,1.95,0.512,0.253,1,0.181,0.0,0,,0.0,0,-0.209,0,0,0.0,0,0.0,train
SME,LN101484,Borrower-01484,16.8,744.0,2.0,0,-0.42,0,0.543,-0.14,1.79,0.96,0.354,0,0.272,0.0,1,1.69,0.0,0,0.104,1,1,0.0,0,0.0052,train
Retail Unsecured,LN101485,Borrower-01485,21.3,750.0,-22.0,0,1.42,0,0.416,-0.034,2.27,0.806,0.157,1,0.572,0.0,0,,0.0,0,0.747,0,0,0.0,0,0.0001,train
Microfinance,LN101486,Borrower-01486,76.4,716.0,-3.0,35,0.04,0,0.545,-0.204,1.59,0.528,0.149,0,-0.112,0.0,0,,0.514,0,-0.203,0,0,0.0,0,0.0866,train
Retail Secured,LN101487,Borrower-01487,96.9,735.0,0.0,5,-1.41,0,0.096,0.012,1.82,0.825,0.034,0,-0.09,0.003,0,,0.0,0,0.092,0,0,0.0,0,0.0,train
Mid Corporate,LN101488,Borrower-01488,222.7,735.0,14.0,15,0.39,0,0.295,0.032,1.38,0.912,0.29,1,-0.347,0.0,0,3.89,0.0,0,0.414,0,0,0.0,0,0.0,train
Retail Secured,LN101489,Borrower-01489,4.1,710.0,22.0,5,-0.11,0,0.491,-0.008,1.62,0.904,0.318,0,0.002,0.013,0,,0.0,0,0.164,0,0,0.0,0,0.0,train
Retail Unsecured,LN101490,Borrower-01490,9.6,682.0,25.0,0,0.38,0,0.85,0.088,1.66,0.828,0.098,0,0.095,0.0,0,,0.0,0,0.015,1,0,0.0,0,0.0001,train
Mid Corporate,LN101491,Borrower-01491,52.9,756.0,10.0,5,-0.33,0,0.555,-0.24,1.9,0.702,0.642,2,-0.107,0.0,1,2.22,0.0,0,0.369,0,0,0.452,0,0.0,train
SME,LN101492,Borrower-01492,14.9,731.0,-0.0,35,-0.54,0,0.416,-0.015,1.68,0.71,0.479,0,0.362,0.0,0,3.94,0.0,0,0.027,0,0,0.014,0,0.0007,train
SME,LN101493,Borrower-01493,63.2,601.0,27.0,35,0.89,0,0.247,0.077,1.49,0.773,0.145,2,-0.044,0.0,1,4.2,0.0,0,0.138,0,0,0.0,0,0.0017,train
Retail Secured,LN101494,Borrower-01494,30.8,670.0,-6.0,0,1.86,0,0.49,0.224,1.23,0.953,0.224,1,-0.086,0.002,0,,0.0,0,0.254,0,0,0.0,0,0.0007,train
SME,LN101495,Borrower-01495,139.4,689.0,1.0,0,-1.86,0,0.041,0.018,1.5,0.879,0.172,0,0.125,0.0,0,2.74,0.0,0,0.409,0,0,0.0,0,0.0,train
Mid Corporate,LN101496,Borrower-01496,77.2,704.0,-4.0,35,0.08,0,0.535,0.059,1.36,0.865,0.391,1,-0.171,0.0,0,5.94,0.0,0,-0.079,0,0,0.283,0,0.0053,train
SME,LN101497,Borrower-01497,78.8,781.0,-38.0,15,-0.54,0,0.35,-0.194,1.59,0.956,0.617,1,0.03,0.0,1,3.33,0.0,0,-0.332,0,0,0.0,0,0.0026,train
Retail Secured,LN101498,Borrower-01498,15.6,891.0,23.0,0,-0.91,0,0.098,-0.145,0.95,0.781,0.063,0,-0.031,0.157,0,,0.0,0,-0.022,0,0,0.0,0,0.0,train
SME,LN101499,Borrower-01499,22.0,580.0,12.0,15,-2.16,0,0.489,0.199,2.47,0.812,0.356,1,0.24,0.0,0,2.87,0.0,0,-0.014,0,0,0.312,0,0.0,train
SME,LN101500,Borrower-01500,17.5,732.0,-43.0,35,0.36,0,0.523,0.033,1.23,0.931,0.453,1,-0.301,0.0,0,3.92,0.0,0,0.157,0,0,0.0,0,0.0339,train
Microfinance,LN101501,Borrower-01501,4.7,719.0,18.0,0,-0.48,0,0.531,0.002,2.47,0.854,0.224,0,-0.041,0.0,0,,0.0,0,0.26,0,0,0.0,0,0.0,train
Retail Secured,LN101502,Borrower-01502,123.8,705.0,-5.0,0,-0.54,0,0.766,-0.035,0.99,0.858,0.65,0,0.089,0.057,0,,0.0,0,0.103,0,0,0.0,0,0.0001,train
Retail Secured,LN101503,Borrower-01503,55.7,745.0,18.0,15,1.2,0,0.39,0.034,2.6,0.617,0.635,0,-0.007,-0.001,0,,0.0,0,0.177,0,0,0.0,0,0.0,train
SME,LN101504,Borrower-01504,16.8,723.0,1.0,0,-0.44,1,0.546,-0.171,2.02,0.858,0.096,0,-0.09,0.0,0,3.56,0.0,0,-0.211,0,0,0.0,0,0.0,train
Retail Secured,LN101505,Borrower-01505,103.0,695.0,-24.0,0,-0.48,0,0.607,0.141,0.99,0.885,0.361,2,-0.232,-0.016,0,,0.0,0,-0.126,0,0,0.0,0,0.0002,train
SME,LN101506,Borrower-01506,12.3,717.0,0.0,5,-1.34,0,0.53,0.022,1.77,0.828,0.19,1,-0.301,0.0,1,1.79,0.0,0,0.559,0,0,0.0,0,0.0,train
Retail Secured,LN101507,Borrower-01507,3.2,746.0,-16.0,0,-0.91,0,0.601,-0.204,1.86,0.75,0.189,1,-0.054,-0.001,0,,0.0,0,-0.246,0,0,0.0,0,0.0,train
Retail Unsecured,LN101508,Borrower-01508,74.3,740.0,-22.0,0,1.47,0,0.762,0.03,2.45,0.964,0.542,0,-0.267,0.0,0,,0.0,0,0.101,0,0,0.0,0,0.0001,train
SME,LN101509,Borrower-01509,6.0,725.0,16.0,0,0.61,0,0.69,-0.099,1.55,0.685,0.152,0,0.339,0.0,1,1.57,0.0,0,0.287,0,0,0.34,0,0.0004,train
Retail Unsecured,LN101510,Borrower-01510,19.8,683.0,7.0,0,1.29,0,0.384,0.168,2.15,0.952,0.311,0,0.21,0.0,0,,0.0,0,0.241,1,0,0.0,0,0.0001,train
Retail Unsecured,LN101511,Borrower-01511,30.8,870.0,27.0,0,-0.84,0,0.357,-0.088,1.58,0.782,0.086,0,0.127,0.0,0,,0.0,0,-0.026,1,0,0.0,0,0.0,train
SME,LN101512,Borrower-01512,37.5,735.0,-7.0,0,0.36,0,0.447,-0.018,0.83,0.742,0.09,1,0.275,0.0,0,5.4,0.0,0,-0.106,0,0,0.197,0,0.0018,train
SME,LN101513,Borrower-01513,62.4,757.0,-17.0,5,1.05,0,0.652,0.001,1.88,0.906,0.141,0,-0.076,0.0,1,3.24,0.26,0,0.51,0,0,0.242,0,0.0031,train
Mid Corporate,LN101514,Borrower-01514,46.5,687.0,11.0,0,0.58,2,0.609,0.087,1.44,0.736,0.106,0,-0.339,0.0,1,2.24,0.728,0,0.037,0,0,0.0,1,0.7657,train
Retail Unsecured,LN101515,Borrower-01515,44.9,725.0,-15.0,0,1.58,0,0.367,0.202,1.67,0.847,0.269,3,-0.101,0.0,0,,0.0,0,-0.674,0,0,0.0,0,0.1312,train
Retail Unsecured,LN101516,Borrower-01516,10.3,725.0,-6.0,0,0.4,1,0.797,0.017,2.07,0.971,0.16,2,-0.163,0.0,0,,0.0,0,0.089,0,0,0.0,0,0.0001,train
Microfinance,LN101517,Borrower-01517,33.9,610.0,9.0,0,-0.0,0,0.298,0.079,2.44,0.587,0.089,0,0.02,0.0,0,,0.0,0,-0.405,3,0,0.0,0,0.0073,train
Retail Unsecured,LN101518,Borrower-01518,4.7,676.0,-2.0,0,-2.35,0,0.818,-0.093,1.15,0.92,0.52,0,-0.308,0.0,0,,0.0,0,0.302,0,0,0.0,0,0.0,train
Retail Unsecured,LN101519,Borrower-01519,136.8,675.0,-9.0,5,0.42,0,0.261,-0.019,1.35,0.915,0.296,1,-0.133,0.0,0,,0.0,0,-0.37,0,0,0.0,0,0.0002,train
Retail Unsecured,LN101520,Borrower-01520,5.2,682.0,-25.0,0,0.6,1,0.617,0.039,1.38,0.949,0.385,0,0.187,0.0,0,,0.418,0,0.098,0,0,0.0,1,0.6856,train
Retail Secured,LN101521,Borrower-01521,16.8,656.0,17.0,0,1.15,0,0.216,-0.019,1.79,0.745,0.316,1,-0.159,-0.013,0,,0.0,0,-0.381,0,0,0.0,0,0.0,train
Mid Corporate,LN101522,Borrower-01522,5.8,717.0,-7.0,15,-0.79,0,0.368,0.103,1.6,0.989,0.41,2,-0.363,0.0,0,3.81,0.0,0,-0.13,0,0,0.104,0,0.0,train
SME,LN101523,Borrower-01523,11.0,792.0,11.0,0,-0.03,0,0.718,-0.081,1.52,0.85,0.26,0,-0.042,0.0,0,4.9,0.0,0,0.231,0,0,0.209,0,0.0,train
SME,LN101524,Borrower-01524,24.9,722.0,9.0,15,-1.59,0,0.484,-0.014,1.3,0.982,0.083,0,0.163,0.0,0,0.2,0.0,0,0.424,0,0,0.0,0,0.0,train
Retail Unsecured,LN101525,Borrower-01525,13.7,650.0,20.0,15,-1.61,0,0.58,-0.112,1.04,0.783,0.318,0,0.298,0.0,0,,0.0,0,-0.113,0,0,0.0,0,0.0,train
Retail Secured,LN101526,Borrower-01526,86.4,658.0,-4.0,0,0.51,0,0.284,0.1,1.16,0.973,0.232,0,-0.133,0.026,0,,0.0,0,0.068,0,0,0.0,0,0.0,train
Retail Secured,LN101527,Borrower-01527,31.5,694.0,-6.0,35,1.27,0,0.12,0.04,1.3,0.701,0.309,1,-0.018,0.032,0,,0.0,0,-0.034,1,0,0.0,0,0.0677,train
Retail Unsecured,LN101528,Borrower-01528,14.7,637.0,-20.0,0,1.3,0,0.317,0.133,1.95,0.948,0.414,0,0.13,0.0,0,,0.0,0,0.471,0,0,0.0,0,0.0002,train
Retail Unsecured,LN101529,Borrower-01529,21.2,732.0,-10.0,0,0.44,0,0.192,-0.057,1.15,0.926,0.195,1,0.24,0.0,0,,0.0,0,0.653,0,0,0.0,0,0.0,train
Retail Unsecured,LN101530,Borrower-01530,93.8,789.0,6.0,0,2.05,0,0.352,0.322,2.61,0.904,0.723,1,0.083,0.0,0,,0.0,0,-0.356,1,0,0.0,0,0.0261,train
Retail Unsecured,LN101531,Borrower-01531,66.7,683.0,-15.0,35,-0.39,0,0.395,0.038,0.52,0.739,0.279,1,-0.518,0.0,0,,0.0,0,0.299,0,0,0.0,0,0.0005,train
Retail Secured,LN101532,Borrower-01532,7.0,719.0,6.0,0,0.9,1,0.44,0.079,1.36,0.873,0.228,0,-0.394,-0.113,0,,0.0,1,-0.327,0,0,0.0,0,0.1339,train
SME,LN101533,Borrower-01533,11.6,691.0,26.0,35,-1.32,0,0.149,0.115,1.62,0.935,0.246,0,0.119,0.0,1,2.88,0.0,1,-0.133,0,0,0.075,0,0.0059,train
Retail Unsecured,LN101534,Borrower-01534,41.4,680.0,-8.0,15,-3.0,0,0.191,0.001,1.76,0.528,0.387,0,0.138,0.0,0,,0.0,0,0.155,0,0,0.0,0,0.0,train
Retail Secured,LN101535,Borrower-01535,36.2,725.0,-24.0,0,-0.48,0,0.11,0.004,1.74,0.921,0.451,1,0.01,0.078,0,,0.0,0,-0.052,0,0,0.0,0,0.0,train
SME,LN101536,Borrower-01536,7.7,679.0,-7.0,0,-0.12,0,0.224,-0.011,1.54,0.955,0.703,0,0.116,0.0,1,2.78,0.0,0,0.181,0,0,0.0,0,0.0001,train
SME,LN101537,Borrower-01537,55.9,671.0,-26.0,35,0.23,0,0.312,0.098,1.97,0.886,0.255,1,-0.271,0.0,0,3.55,0.373,0,0.084,0,0,0.0,0,0.0113,train
SME,LN101538,Borrower-01538,9.2,626.0,24.0,0,-0.19,0,0.401,-0.045,0.91,0.666,0.406,1,0.347,0.0,0,3.45,0.0,0,0.071,0,0,0.0,0,0.0001,train
Retail Secured,LN101539,Borrower-01539,102.9,719.0,2.0,15,0.36,0,0.168,0.032,2.24,0.791,0.633,2,-0.502,-0.062,0,,0.0,0,0.202,0,0,0.0,0,0.0,train
Mid Corporate,LN101540,Borrower-01540,43.9,774.0,-13.0,0,1.74,0,0.391,0.101,0.94,0.852,0.125,3,0.172,0.0,0,0.74,0.0,0,0.186,0,0,0.0,0,0.0123,train
Retail Unsecured,LN101541,Borrower-01541,7.1,754.0,-10.0,15,0.74,0,0.39,0.078,1.22,0.921,0.579,0,0.001,0.0,0,,0.0,0,0.028,0,0,0.0,0,0.0016,train
Retail Secured,LN101542,Borrower-01542,13.7,797.0,-21.0,0,-0.77,0,0.439,-0.288,1.52,0.974,0.03,0,-0.035,0.055,0,,0.0,0,-0.107,0,0,0.0,0,0.0,train
Retail Unsecured,LN101543,Borrower-01543,13.4,678.0,18.0,0,-2.51,0,0.135,0.008,2.05,0.824,0.098,0,-0.044,0.0,0,,0.0,0,0.17,0,0,0.0,0,0.0,train
Retail Secured,LN101544,Borrower-01544,29.2,762.0,33.0,0,-1.08,0,0.154,-0.095,1.86,0.742,0.181,1,0.087,0.039,0,,0.0,0,-0.015,0,0,0.0,0,0.0,train
Retail Secured,LN101545,Borrower-01545,19.6,654.0,-27.0,15,1.34,0,0.474,-0.027,2.32,0.573,0.202,0,0.025,0.11,0,,0.0,0,-0.004,0,0,0.0,0,0.0037,train
Retail Unsecured,LN101546,Borrower-01546,7.0,754.0,19.0,35,-0.5,0,0.041,0.119,1.41,0.719,0.644,1,0.211,0.0,0,,0.0,0,0.213,2,0,0.0,0,0.0208,train
SME,LN101547,Borrower-01547,5.3,805.0,-4.0,0,0.68,0,0.656,0.284,1.93,0.761,0.135,1,-0.156,0.0,0,4.0,0.0,0,-0.032,1,0,0.0,0,0.0025,train
Retail Unsecured,LN101548,Borrower-01548,44.9,742.0,23.0,5,0.64,0,0.295,-0.107,1.06,0.946,0.122,1,0.112,0.0,0,,0.0,0,-0.118,0,0,0.0,0,0.0,train
Retail Unsecured,LN101549,Borrower-01549,33.6,806.0,-33.0,15,-0.06,0,0.725,-0.084,1.98,0.86,0.514,1,0.064,0.0,0,,0.0,0,0.158,0,0,0.0,0,0.0003,train
Retail Unsecured,LN101550,Borrower-01550,27.6,682.0,4.0,35,-0.09,0,0.62,0.019,1.83,0.858,0.329,3,-0.379,0.0,0,,0.0,0,-0.043,0,0,0.0,0,0.0002,train
Retail Secured,LN101551,Borrower-01551,33.0,708.0,-7.0,0,-0.66,0,0.678,0.027,1.37,0.811,0.553,0,-0.187,0.065,0,,0.0,0,0.103,0,0,0.0,0,0.0,train
Retail Unsecured,LN101552,Borrower-01552,12.4,665.0,12.0,0,2.23,0,0.152,-0.115,1.29,0.752,0.511,0,0.242,0.0,0,,0.0,0,-0.019,1,0,0.0,0,0.0102,train
Retail Secured,LN101553,Borrower-01553,30.0,717.0,1.0,15,-0.96,0,0.52,0.089,2.25,0.852,0.282,2,0.156,0.09,0,,0.0,0,0.315,0,0,0.0,0,0.0,train
Retail Unsecured,LN101554,Borrower-01554,400.4,730.0,0.0,0,1.12,0,0.468,-0.103,1.77,0.769,0.105,2,-0.284,0.0,0,,0.0,0,-0.343,2,0,0.0,0,0.0119,train
SME,LN101555,Borrower-01555,89.3,716.0,-2.0,35,0.83,0,0.158,-0.183,2.32,0.908,0.053,1,-0.006,0.0,1,2.54,0.0,0,0.108,0,0,0.0,0,0.0001,train
Mid Corporate,LN101556,Borrower-01556,17.9,689.0,28.0,0,0.62,0,0.148,-0.13,1.55,0.845,0.205,0,-0.204,0.0,1,5.2,0.0,0,-0.246,0,0,0.073,0,0.0,train
Retail Secured,LN101557,Borrower-01557,13.8,688.0,-3.0,0,-0.12,1,0.381,0.096,2.06,0.752,0.134,1,0.192,-0.008,0,,0.0,0,-0.173,0,0,0.0,0,0.0003,train
SME,LN101558,Borrower-01558,1.1,734.0,16.0,0,-1.48,0,0.074,-0.024,2.57,0.765,0.261,0,0.169,0.0,0,5.27,0.0,0,0.137,0,0,0.0,0,0.0,train
Mid Corporate,LN101559,Borrower-01559,79.5,706.0,11.0,0,-1.15,0,0.445,-0.259,1.99,0.935,0.159,2,-0.46,0.0,1,1.45,0.0,0,0.244,0,0,0.039,0,0.0,train
Microfinance,LN101560,Borrower-01560,58.3,652.0,16.0,0,-0.77,0,0.696,0.055,2.35,0.901,0.595,0,0.07,0.0,0,,0.0,0,0.272,1,0,0.0,0,0.0,train
SME,LN101561,Borrower-01561,13.5,611.0,-18.0,0,0.37,1,0.154,0.013,2.33,0.534,0.035,0,-0.089,0.0,1,4.71,0.0,0,0.077,1,0,0.0,0,0.0048,train
Mid Corporate,LN101562,Borrower-01562,5.1,682.0,13.0,0,0.89,0,0.123,0.14,2.16,0.838,0.042,0,0.002,0.0,0,2.2,0.0,0,-0.362,0,0,0.0,0,0.0,train
Mid Corporate,LN101563,Borrower-01563,6.9,639.0,6.0,0,0.31,1,0.331,0.016,1.72,0.544,0.497,1,0.289,0.0,0,2.36,0.0,0,-0.137,0,0,0.226,0,0.0162,train
SME,LN101564,Borrower-01564,40.0,669.0,-21.0,15,0.26,0,0.431,0.028,2.38,0.636,0.5,0,0.044,0.0,0,1.23,0.0,0,0.642,0,0,0.067,0,0.0,train
Retail Secured,LN101565,Borrower-01565,22.2,692.0,-4.0,35,1.04,0,0.305,-0.038,1.81,0.58,0.08,1,-0.164,-0.055,0,,0.0,0,-0.167,0,0,0.0,0,0.0008,train
Retail Unsecured,LN101566,Borrower-01566,52.5,707.0,41.0,0,-2.09,1,0.338,-0.06,1.58,0.965,1.102,2,0.053,0.0,0,,0.0,0,-0.015,1,0,0.0,0,0.0,train
Retail Unsecured,LN101567,Borrower-01567,27.0,678.0,-7.0,15,-2.21,1,0.734,-0.118,1.57,0.674,0.655,0,0.273,0.0,0,,0.0,0,-0.048,0,0,0.0,0,0.0002,train
Retail Secured,LN101568,Borrower-01568,71.1,836.0,-7.0,0,-1.55,0,0.809,-0.139,1.89,0.832,0.081,1,-0.014,-0.044,0,,0.0,0,-0.397,1,0,0.0,0,0.0,train
Retail Secured,LN101569,Borrower-01569,36.8,646.0,8.0,15,0.93,0,0.551,0.044,1.77,0.85,0.324,3,-0.152,-0.014,0,,0.0,0,-0.309,0,0,0.0,0,0.0006,train
Retail Secured,LN101570,Borrower-01570,61.0,782.0,-10.0,15,-2.01,0,0.678,-0.12,0.91,0.917,0.232,0,0.007,-0.08,0,,0.0,0,-0.269,0,0,0.0,0,0.0,train
Retail Secured,LN101571,Borrower-01571,2.5,706.0,3.0,15,-0.01,0,0.326,-0.028,2.75,0.822,0.27,2,-0.444,-0.03,0,,0.0,0,0.163,0,0,0.0,0,0.0,train
Retail Secured,LN101572,Borrower-01572,6.3,679.0,-8.0,35,-0.91,0,0.49,0.196,1.6,0.839,0.092,0,0.016,0.107,0,,0.0,0,0.398,0,0,0.0,0,0.0,train
Mid Corporate,LN101573,Borrower-01573,16.4,747.0,7.0,5,0.16,0,0.621,0.097,1.89,0.961,0.362,0,-0.108,0.0,1,1.87,0.0,0,-0.028,0,0,0.164,0,0.0,train
Retail Unsecured,LN101574,Borrower-01574,80.4,690.0,-1.0,35,-0.14,0,0.745,0.043,2.44,0.846,0.182,1,-0.121,0.0,0,,0.0,0,-0.029,0,0,0.0,0,0.0,train
Retail Unsecured,LN101575,Borrower-01575,194.1,671.0,35.0,0,0.25,0,0.178,0.049,0.99,0.763,0.062,0,-0.193,0.0,0,,0.0,0,-0.622,0,0,0.0,0,0.0,train
SME,LN101576,Borrower-01576,20.5,813.0,1.0,0,-0.4,1,0.415,-0.076,2.07,0.92,0.389,2,-0.29,0.0,1,3.66,0.0,0,-0.492,0,0,0.342,0,0.0009,train
Mid Corporate,LN101577,Borrower-01577,12.5,594.0,-4.0,0,0.71,0,0.199,-0.1,1.16,0.908,0.208,0,0.204,0.0,1,2.86,0.0,0,-0.46,0,0,0.0,0,0.001,train
Microfinance,LN101578,Borrower-01578,2.9,702.0,19.0,5,1.46,0,0.25,0.1,1.66,0.84,0.824,1,-0.225,0.0,0,,0.448,0,0.022,1,0,0.0,0,0.1884,train
Mid Corporate,LN101579,Borrower-01579,63.4,725.0,-25.0,0,1.26,0,0.725,0.091,2.31,0.821,0.45,0,0.095,0.0,0,4.14,0.0,0,-0.333,0,0,0.407,0,0.0461,train
Mid Corporate,LN101580,Borrower-01580,13.4,792.0,30.0,15,-0.36,0,0.421,-0.214,2.17,0.665,0.169,2,0.283,0.0,0,0.94,0.0,0,-0.052,0,0,0.151,0,0.0,train
Retail Unsecured,LN101581,Borrower-01581,635.3,693.0,-18.0,15,-0.87,0,0.213,-0.003,1.33,0.759,0.246,1,-0.6,0.0,0,,0.0,0,-0.209,0,0,0.0,0,0.0,train
Retail Secured,LN101582,Borrower-01582,10.9,861.0,21.0,0,0.2,0,0.567,-0.089,0.8,0.857,0.289,2,-0.146,0.055,0,,0.0,0,-0.167,0,0,0.0,0,0.0,train
Retail Unsecured,LN101583,Borrower-01583,248.6,757.0,26.0,35,1.98,0,0.303,-0.062,0.39,0.535,0.433,2,0.272,0.0,0,,0.0,0,-0.362,0,0,0.0,1,0.8736,train
SME,LN101584,Borrower-01584,55.9,585.0,-9.0,15,-0.05,0,0.451,-0.121,2.5,0.888,0.205,0,0.003,0.0,1,3.16,0.0,0,-0.3,0,0,0.0,0,0.0,train
Mid Corporate,LN101585,Borrower-01585,7.9,635.0,-8.0,0,0.84,0,0.305,0.112,0.42,0.814,0.659,0,0.051,0.0,0,3.24,0.0,0,-0.287,1,1,0.222,1,0.9968,train
Retail Secured,LN101586,Borrower-01586,31.7,728.0,-2.0,35,0.78,0,0.688,-0.155,1.57,0.836,0.266,0,0.306,0.035,0,,0.0,0,0.185,0,0,0.0,0,0.0008,train
Retail Secured,LN101587,Borrower-01587,57.3,652.0,11.0,0,0.77,1,0.229,-0.22,1.14,0.702,0.01,1,-0.171,0.001,0,,0.0,0,0.342,0,0,0.0,0,0.0,train
Retail Unsecured,LN101588,Borrower-01588,19.1,745.0,-18.0,0,1.27,1,0.403,-0.065,0.63,0.806,0.4,1,0.106,0.0,0,,0.0,0,0.003,0,0,0.0,1,0.3019,train
Retail Unsecured,LN101589,Borrower-01589,61.7,690.0,-2.0,5,-1.32,0,0.307,0.231,1.17,0.886,0.134,2,-0.096,0.0,0,,0.0,0,-0.481,0,0,0.0,0,0.0,train
Retail Unsecured,LN101590,Borrower-01590,60.2,649.0,-6.0,35,-0.96,0,0.329,0.128,1.4,0.798,0.234,1,-0.067,0.0,0,,0.0,0,-0.235,0,0,0.0,0,0.0006,train
Retail Unsecured,LN101591,Borrower-01591,47.3,662.0,-21.0,5,0.05,1,0.099,0.179,2.04,0.913,0.164,2,-0.588,0.0,0,,0.0,0,0.126,0,0,0.0,0,0.0,train
Microfinance,LN101592,Borrower-01592,24.1,762.0,-19.0,0,1.23,0,0.123,0.135,1.75,0.375,0.19,1,-0.247,0.0,0,,0.0,0,0.216,1,0,0.258,0,0.0113,train
Retail Secured,LN101593,Borrower-01593,6.7,604.0,2.0,5,1.23,0,0.511,-0.031,1.17,0.837,0.156,0,-0.29,0.178,0,,0.0,0,0.191,0,0,0.0,0,0.0002,train
Mid Corporate,LN101594,Borrower-01594,22.5,772.0,2.0,15,-0.05,0,0.7,-0.008,0.83,0.728,0.122,0,0.061,0.0,0,4.29,0.18,0,-0.506,0,0,0.056,0,0.0133,train
SME,LN101595,Borrower-01595,29.8,774.0,-14.0,0,1.0,1,0.711,-0.035,2.23,0.678,0.572,0,0.336,0.0,1,4.3,0.0,0,-0.115,0,0,0.029,1,0.1853,train
Retail Unsecured,LN101596,Borrower-01596,3.1,697.0,1.0,0,-0.42,0,0.542,-0.157,1.37,0.881,0.158,1,0.105,0.0,0,,0.0,0,-0.098,0,0,0.0,0,0.0,train
Retail Unsecured,LN101597,Borrower-01597,29.6,638.0,-12.0,5,-0.83,0,0.525,-0.132,1.21,0.848,0.289,0,-0.004,0.0,0,,0.0,0,0.352,0,0,0.0,0,0.0,train
SME,LN101598,Borrower-01598,22.1,746.0,24.0,0,-1.33,0,0.426,0.084,2.21,0.935,0.519,1,0.324,0.0,0,2.12,0.0,0,0.196,0,0,0.037,0,0.0,train
Retail Unsecured,LN101599,Borrower-01599,5.9,688.0,-2.0,15,-0.14,1,0.057,-0.085,1.3,0.756,0.71,1,0.389,0.0,0,,0.0,0,0.062,0,0,0.0,0,0.0104,train
Mid Corporate,LN101600,Borrower-01600,17.0,632.0,20.0,0,-0.35,2,0.172,0.009,1.55,0.709,0.352,0,-0.21,0.0,1,3.66,0.0,0,-0.596,1,0,0.0,0,0.0257,train
Retail Unsecured,LN101601,Borrower-01601,17.4,820.0,-30.0,0,1.0,0,0.303,-0.128,1.98,0.775,0.133,2,0.088,0.0,0,,0.435,0,0.369,0,0,0.0,0,0.0059,train
SME,LN101602,Borrower-01602,205.0,666.0,6.0,0,0.56,0,0.453,-0.043,1.87,0.937,0.008,0,-0.075,0.0,0,4.19,0.0,0,-0.457,0,0,0.0,0,0.0,train
SME,LN101603,Borrower-01603,31.3,634.0,11.0,5,0.05,0,0.0,0.064,1.14,0.847,0.302,1,-0.097,0.0,1,1.58,0.0,0,0.03,0,0,0.0,0,0.0,train
Retail Unsecured,LN101604,Borrower-01604,76.7,731.0,-2.0,0,0.06,1,0.687,-0.2,1.11,0.739,0.139,2,0.056,0.0,0,,0.0,0,0.05,0,0,0.0,0,0.0019,train
Retail Unsecured,LN101605,Borrower-01605,21.6,711.0,-10.0,0,-0.42,0,0.069,-0.004,1.86,0.885,0.17,0,0.149,0.0,0,,0.0,0,-0.402,0,0,0.0,0,0.0,train
Microfinance,LN101606,Borrower-01606,3.1,797.0,-3.0,0,-1.78,0,0.302,0.071,1.18,0.772,0.139,0,0.552,0.0,0,,0.0,0,0.017,0,0,0.0,0,0.0,train
